time,name,position,velocity,effort
0.000000,brazo1_link_joint,-0.530000,-0.099999,-1.205768
0.000000,brazo2_link_joint,0.000011,0.000002,-0.504397
0.000000,paloquebaja_link_joint,-0.064162,0.002467,39.296099
0.000000,pinza_base_link_joint,-0.000011,-0.000002,-0.000201
0.000000,pinza_d_link_joint,0.000025,0.000000,0.038266
0.000000,pinza_i_link_joint,0.000023,-0.000000,-0.033780
0.000000,w1_link_joint,-0.000000,-0.000000,0.662648
0.000000,w2_link_joint,-0.000000,0.000000,-2.236455
0.000000,w3_link_joint,-0.000000,-0.000000,0.000000
0.000000,w4_link_joint,0.000000,0.000000,0.000000
0.000000,w5_link_joint,0.000000,0.000000,-3.332327
0.000000,w6_link_joint,-0.000000,0.000000,0.000000
0.050000,brazo1_link_joint,-0.535000,-0.100000,-1.200394
0.050000,brazo2_link_joint,0.000012,0.000002,-0.502149
0.050000,paloquebaja_link_joint,-0.064039,0.002467,39.296099
0.050000,pinza_base_link_joint,-0.000012,-0.000002,-0.000201
0.050000,pinza_d_link_joint,0.000025,0.000000,0.038105
0.050000,pinza_i_link_joint,0.000023,-0.000000,-0.033620
0.050000,w1_link_joint,-0.000000,-0.000000,0.661872
0.050000,w2_link_joint,-0.000000,0.000000,-2.235956
0.050000,w3_link_joint,-0.000000,0.000000,0.000000
0.050000,w4_link_joint,0.000000,0.000000,0.000000
0.050000,w5_link_joint,0.000000,0.000000,-3.332260
0.050000,w6_link_joint,-0.000000,0.000000,0.000000
0.100000,brazo1_link_joint,-0.540000,-0.100000,-1.194989
0.100000,brazo2_link_joint,0.000012,0.000002,-0.499889
0.100000,paloquebaja_link_joint,-0.063915,0.002467,39.296099
0.100000,pinza_base_link_joint,-0.000012,-0.000002,-0.000201
0.100000,pinza_d_link_joint,0.000025,0.000000,0.037944
0.100000,pinza_i_link_joint,0.000023,-0.000000,-0.033458
0.100000,w1_link_joint,-0.000000,-0.000000,0.661092
0.100000,w2_link_joint,-0.000000,0.000000,-2.235461
0.100000,w3_link_joint,-0.000000,-0.000000,0.000000
0.100000,w4_link_joint,0.000000,-0.000000,0.000000
0.100000,w5_link_joint,0.000000,0.000000,-3.332186
0.100000,w6_link_joint,-0.000000,-0.000000,0.000000
0.150000,brazo1_link_joint,-0.545000,-0.100000,-1.189554
0.150000,brazo2_link_joint,0.000012,0.000002,-0.497616
0.150000,paloquebaja_link_joint,-0.063792,0.002467,39.296099
0.150000,pinza_base_link_joint,-0.000012,-0.000002,-0.000201
0.150000,pinza_d_link_joint,0.000025,0.000000,0.037781
0.150000,pinza_i_link_joint,0.000023,-0.000000,-0.033296
0.150000,w1_link_joint,-0.000000,-0.000000,0.660307
0.150000,w2_link_joint,-0.000000,0.000000,-2.234968
0.150000,w3_link_joint,-0.000000,0.000000,0.000000
0.150000,w4_link_joint,0.000000,0.000000,0.000000
